Arsenal|Angliya|2|3|0.35|
Aston Villa|Angliya|2|2|0.30|
Atletiko Madrid|Ispaniya|3|3|0.45|
Ayaks|Niderlandi|5|2|0.60|
Barselona|Ispaniya|3|4|0.50|
Bavariya|German|4|2|0.50|
Borussia|German|2|3|0.35|
CSKA|Russia|2|3|0.35|
Chelsi|Angliya|3|2|0.40|
Dinamo|Russia|2|2|0.30|
Feienord|Niderlandi|4|1|0.45|
Gamburg|German|2|2|0.30|
Hetafe|Ispaniya|1|3|0.25|
Inter|Italiya|4|3|0.55|
Keln|German|4|2|0.50|
Krasnodar|Russia|2|2|0.30|
Lacio|Italiya|1|3|0.25|
Leche|Italiya|2|3|0.35|
Lill|Francia|2|3|0.35|
Lion|Francia|3|2|0.40|
Liverpul|Angliya|6|2|0.70|
Lokomotiv|Russia|2|1|0.25|
Manchester City|Angliya|3|1|0.35|
Marsel|Francia|2|2|0.30|
Nant|Francia|2|2|0.30|
Napoli|Italiya|4|4|0.60|
Nicca|Francia|1|2|0.20|
Nurnberg|German|2|3|0.35|
PSV|Niderlandi|3|2|0.40|
Parma|Italiya|1|2|0.20|
Renn|Francia|1|3|0.25|
Rostov|Russia|3|2|0.40|
Seviliya|Ispaniya|2|4|0.40|
Shalke 04|German|4|1|0.45|
Shtutgart|German|3|1|0.35|
Sparta|Niderlandi|3|2|0.40|
Spartak|Russia|4|3|0.55|
Uventus|Italiya|5|3|0.65|
Valensiya|Ispaniya|2|3|0.35|
Verder|German|3|2|0.40|
Zenit|Russia|4|2|0.50|
